name,calories,protein,carbohydrate,fat,vitaminc,ingredients
ผัดไทย หมูชิ้น,927,37.6,106.8,37.7,28.9329,"pork, noodle, egg, tofu, fish sauce, sugar, bean sprouts, shrimp"
ก๋วยเตี๋ยว บะหมี่แห้ง หมูมะนาว,947,47.4,80.5,55,57.2325,"pork, noodle, garlic, chili, lime, coriander, chili, spring onion"
ลูกชิ้น ปลา,117,15.6,1.2,5.1,2.4,"fish, potato flour, sugar, soy bean"
ก๋วยเตี๋ยว วุ้นเส้น เย็นตาโฟ,420,11.3,63.1,13.6,50,"vermicelli, lime, salt, tomato paste, garlic, fish sauce, coriander, soy sauce, fish ball, squid, shrimp"
ก๋วยเตี๋ยว เส้นใหญ่ เย็นตาโฟ,381,17.5,42,15.9,65.8,"wide rice noodle, lime, salt, tomato paste, garlic, fish sauce, coriander, soy sauce, fish ball, squid, shrimp"
ก๋วยเตี๋ยว เส้นใหญ่ เนื้อสับ,616,26.6,54.8,34.9,96.9564,"wide rice noodle, lime, salt, tomato paste, garlic, fish sauce, coriander, soy sauce, fish ball, squid, shrimp, beef"
ก๋วยเตี๋ยว คั่วไก่,603,55.2,58.2,18,29.375,"wide rice noodle, lime, salt, garlic, fish sauce, coriander, soy sauce, sugar, oil, egg, chicken, lettuce"
ก๋วยเตี๋ยว ผัดขี้เมา หมู,578,22.9,37.4,39,44.43,"wide rice noodle, salt, garlic, fish sauce, coriander, soy sauce, sugar, oil, pork, chili, pepper"
ผัดขี้เมา บะหมี่ กุ้ง,874,39.9,79.2,45.2,43.8494,"egg noodle, salt, garlic, fish sauce, coriander, soy sauce, sugar, oil, shrimp, chili, pepper"
หมู หมักนุ่ม,407,54.9,10.8,14.6,3.42,pork
ราดหน้า หมู,644,58.7,33.7,30,27.7267,"wide_rice_noodle, salt, garlic, fish_sauce, coriander, soy_sauce, sugar, oil, pork, chili, pepper, all-purpose_flour, kale"
ราดหน้า บะหมี่ ทะเล,594,47.8,45.1,25.1,22.9776,"egg_noodle, salt, garlic, fish_sauce, coriander, soy_sauce, sugar, oil, shrimp, squid, chili, pepper, all-purpose_flour, kale"
ผัดหมี่ ฮกเกี้ยน,796,82.9,47.9,29.9,84.815,"noodle, shrimp, squid, fish ball, oyster sauce, spring onion, sugar, soy sauce, pepper, oil,
shallot"
ยากิโซบะ หมู,430,20.4,46.4,20.2,43.243,"yakisoba noodle, oil, pork, carrot, yakisoba sauce, sugar, tomato sauce, pepper,
cabbage"
ออส่วน,510,20.2,47.4,26.6,38.615,"all-purpose flour, coriander, oyster, oyster sauce, pepper, soy sauce, egg, sugar, spring onion, chili sauce"
สปาเก็ตตี้ ปลาเค็ม,537,16.7,46.2,31.5,10.975,"spaghetti, fish, salt, pepper"
สุกี้น้ำ กุ้งหมึก,489,31.1,46.2,20.6,80.095,"vermicelli, shrimp, squid, chili, sugar, soy sauce, coriander, vinegar,water, lettuce"
น้ำจิ้ม สุกี้,244,4.5,20.4,16.6,7.845,"chili, sugar, soy sauce, coriander, vinegar,water, lettuce"
ขนมจีน แกงเขียวหวานไก่,506,23,57.6,19.6,24.18,"rice_noodle, coconut_milk, green_curry_paste, fish_sauce, sugar, salt,
eggplant, chili,
kaffir_lime_leave,
basil"
น้ำยากะทิ ปลา,329,25.1,16.7,18.2,23.985,"coconut milk, red curry paste, fish sauce, sugar, salt, fish, fish ball
eggplant, chili,
kaffir lime leave,
basil"
ขนมจีน น้ำยากะทิ ปลา,526,31.1,58,18.4,23.985,"rice_noodle,coconut milk, red curry paste, fish sauce, sugar, salt, fish, fish ball
eggplant, chili,
kaffir lime leave,
basil"
ห่อหมก ปลา,508,38.3,19.4,31.7,42.13804,"red curry paste, fish, coconut milk, palm sugar, fish sauce, egg, kaffir lime leave, cabbage, basil"
กุยช่าย ,723,14.4,109.1,27.8,257.02,"chives, flour, sugar, salt, baking soda, oil, garlic, soy sauce, vinegar, chili sauce"
ข้าวราด หมูพะโล้ ใส่ไข่,535,25.1,66.3,18.8,10.1,"rice, pork, sugar, garlic, tofu, soy sauce, chinese spice blend, oil"
ยำ วุ้นเส้น กุ้ง หมูสับ,427,40.9,30.4,17.2,132.24,"vermicelli, lime, onino, pork, shrimp, celery, tomato, chili, fish sauce, sugar"
ขนมไทย ตะโก้สาคู ข้าวโพด,660,3.6,129.9,15.3,6.141,"coconut milk, corn, small tapioca, pandan, sugar, salt"
ผักกาดดอง ต้มซีโครงหมู,412,28.2,10.4,27.9,4.5555,"pork rib, mushroom, tomato, galangal, lamon grass, shallot, chili, celery, kaffir lime leave, celery root, pepper, spring onion"
ไก่ต้มฟัก มะนาวดอง,259,41.5,13.9,5.6,68.915,"lime, chicken, gourd, pepper, coriander root, coriander, tomato"
แกงเทโพ หมูสามชั้น,791,12.4,56.5,58.6,110.4,"pork, morning glory, kaffir lime leave, coconut milk, tamarind juice, sugar, fish sauce, pepper, salt, shrimp paste, shallot"
